userName,at,content
Sari Kasmah,2024-09-29 15:26:32,Gak bisa login ke akun baru
Sashiko Official,2024-09-29 15:25:11,"Pliss arsip Ig jangan di hapus🙏 boleh di hapuss untuk sementara kalo untuk perbaikan tapi plis balikin lagii arsip ignya semua kenangan, kejametan, ada di dalam arsip Ig semuaa plisss🙏🙏🙏😭😭😭😭"
Aji Saputra,2024-09-29 15:24:54,Mamtap
Allya musriva,2024-09-29 15:22:57,jangan hilangkan archive nya pls
ANDI SM,2024-09-29 15:22:05,Good
Parman 123,2024-09-29 15:19:28,Terimakasih
UJANG SURYA AJI,2024-09-29 15:19:20,"Instagram babi, udah update malah makin gajelas, buka fitur juga muter terus, aneh, padahal udah meta"
R yan Bengkulu,2024-09-29 15:10:57,"Kreen, membantu untuk kegiatan yg positif&menghibur keseharian dari sela2 aktifitas."
KalKal,2024-09-29 15:10:57,"fitur template di story saya tidak bisa di gunakan, tetapi pas saya coba di akun ke-2 saya, pakai template itu bisa, gatau ini bug atau apa tapi mohon segera di perbaiki secepatnya, saya merasa terganggu dengan hal ini 👊"
Liyannie,2024-09-29 15:08:32,"berulang kli login tpi gabisa, giliran buat akun baru malah ke log out. maunya apasih?"
Zul Fikar,2024-09-29 15:08:23,Pokok nya josss
Wildan Rizki,2024-09-29 15:06:22,"tidak mendapatkan update seperti teman teman saya, ui masih menggunakan ui yang lama, gimana ini ig tolong fiturnya di akun saya"
Lisa Alsyaira,2024-09-29 15:06:21,gasuka arsip bakal dihapus
Risna Chemong,2024-09-29 15:06:05,Semoga bisa menghasilkan uang disini karna di FB tidak seberuntung yang lain
